buyer_income_lpa,house_price_lakh,loan_eligibility,credit_score,down_payment_percent,existing_emi_lpa,employment_years,dependents,property_location_score,employment_type,can_buy
16.36,138.43,yes,656,17.6,3.82,15,2,3,business,neutral
48.64,236.31,yes,848,53.33,4.92,5,3,4,salaried,yes
16.69,144.77,no,563,4.08,9.63,5,1,8,salaried,no
6.76,79.84,yes,836,10.01,1.58,3,4,3,self_employed,neutral
68.8,812.66,yes,891,38.18,31.01,9,0,3,salaried,yes
6.27,61.41,no,685,15.87,1.82,10,2,5,self_employed,no
31.44,116.37,yes,729,43.95,6.24,30,1,7,salaried,yes
44.55,214.47,yes,772,35.48,7.36,13,0,7,salaried,yes
24.54,145.54,yes,683,20.78,4.35,2,1,3,business,neutral
9.1,52.83,yes,537,14.51,2.94,6,2,8,self_employed,neutral
10.63,179.0,yes,538,8.53,4.74,8,0,10,salaried,no
24.05,113.2,yes,672,17.89,7.14,18,1,4,business,yes
103.09,402.81,yes,894,37.87,27.78,25,2,3,self_employed,yes
8.82,81.11,no,615,14.87,3.01,10,0,6,business,no
48.47,469.14,yes,775,40.32,11.63,13,3,9,salaried,yes
8.78,113.43,yes,691,16.32,1.05,1,1,7,salaried,no
29.77,108.52,no,597,39.2,5.98,11,0,3,salaried,neutral
12.53,147.85,no,524,16.75,5.36,4,4,9,salaried,no
74.85,711.01,yes,795,54.94,19.66,9,4,6,salaried,yes
52.37,311.05,yes,725,47.95,4.82,6,1,9,salaried,yes
35.17,119.32,yes,733,23.59,13.63,8,0,3,business,yes
18.48,115.15,no,470,3.21,4.97,17,3,1,salaried,no
20.03,168.66,yes,706,30.02,7.74,17,5,10,salaried,neutral
16.47,81.39,yes,829,24.13,4.0,8,4,8,self_employed,yes
26.88,125.52,yes,674,14.69,3.61,6,5,7,salaried,neutral
14.0,182.13,yes,559,13.82,3.53,10,1,10,self_employed,no
8.06,86.41,yes,668,14.75,2.83,4,4,5,business,neutral
66.3,267.05,yes,853,26.87,13.63,10,3,3,business,yes
32.47,416.84,yes,828,53.48,10.42,11,5,6,business,neutral
6.3,47.45,yes,683,17.33,1.9,5,6,7,salaried,neutral
51.56,235.85,yes,816,29.47,6.77,16,1,8,salaried,yes
15.46,185.09,yes,545,8.09,5.01,10,5,4,self_employed,no
28.72,367.43,no,703,6.26,13.53,2,3,5,salaried,no
57.52,412.85,yes,745,16.35,10.28,10,0,6,business,yes
12.06,67.81,yes,740,9.4,5.19,7,1,6,business,neutral
23.54,311.98,yes,813,19.13,8.77,7,1,7,business,neutral
19.76,181.44,yes,799,12.51,2.76,13,0,10,salaried,yes
20.11,106.78,no,696,33.6,4.95,12,3,9,salaried,yes
5.63,87.77,no,683,18.75,1.61,6,0,10,business,no
44.29,345.46,yes,756,32.58,16.67,8,2,9,salaried,yes
9.07,112.67,yes,791,2.72,1.18,4,3,5,business,neutral
58.71,396.28,no,807,33.86,9.19,25,1,9,salaried,neutral
14.34,194.59,yes,818,13.72,3.41,2,1,5,self_employed,neutral
44.73,353.25,yes,535,24.05,9.51,15,2,8,self_employed,neutral
4.95,33.69,yes,792,20.84,1.89,9,0,1,salaried,neutral
6.79,53.95,no,643,13.55,2.08,6,2,1,self_employed,no
35.47,248.61,yes,717,46.26,7.03,5,3,4,business,yes
21.65,116.57,yes,724,27.45,3.21,18,4,9,salaried,yes
24.48,252.37,yes,734,17.32,4.75,9,5,7,business,neutral
42.38,222.35,yes,744,25.33,2.73,17,1,3,salaried,yes
18.33,266.6,yes,599,11.73,6.21,12,1,1,business,no
10.19,126.87,no,564,14.64,2.58,4,1,5,salaried,no
5.51,80.45,yes,712,7.37,1.72,6,2,7,salaried,no
17.6,186.57,yes,582,23.95,4.03,4,5,6,salaried,no
21.48,99.93,yes,653,26.67,3.85,13,1,2,business,yes
25.5,139.66,yes,771,16.25,4.23,7,2,4,salaried,yes
7.01,75.31,no,607,20.12,1.57,10,3,10,salaried,no
9.19,86.49,yes,674,12.57,2.24,9,3,10,business,neutral
15.58,253.39,yes,648,27.89,5.35,12,1,6,business,neutral
17.52,170.76,yes,736,13.33,4.57,7,5,9,self_employed,neutral
22.1,202.3,no,707,29.15,3.64,3,3,2,business,no
7.59,56.53,no,747,13.7,2.56,11,6,4,salaried,no
20.17,143.3,yes,754,11.2,6.97,13,2,4,business,yes
18.71,102.97,yes,735,32.6,6.06,17,0,8,salaried,yes
36.35,298.89,no,644,19.37,5.14,4,2,8,salaried,no
8.81,66.52,no,662,4.09,0.41,12,2,2,self_employed,no
8.22,69.32,no,755,15.72,2.77,6,5,7,salaried,no
8.28,54.95,no,620,15.12,3.93,3,5,9,salaried,no
29.31,199.09,no,728,32.71,6.64,7,6,7,business,no
26.94,156.48,yes,727,18.78,4.48,7,5,4,salaried,neutral
26.06,288.0,yes,726,9.42,8.41,7,3,4,self_employed,neutral
70.7,307.72,yes,665,20.47,20.35,11,3,8,self_employed,yes
46.06,590.91,yes,738,35.17,13.34,24,6,3,salaried,neutral
25.79,135.61,yes,662,37.03,8.21,16,0,6,salaried,yes
10.48,56.82,yes,573,8.54,3.98,6,3,2,self_employed,neutral
11.06,97.87,yes,665,13.19,2.58,3,1,1,salaried,neutral
11.04,144.52,yes,705,10.17,2.93,13,2,5,self_employed,neutral
23.48,224.81,yes,551,35.95,5.94,9,1,10,self_employed,neutral
7.99,92.12,no,470,9.87,3.85,2,0,5,salaried,no
13.34,174.14,no,646,3.41,6.36,12,1,10,salaried,no
16.65,105.29,yes,603,34.45,4.01,13,4,6,self_employed,neutral
18.58,142.1,yes,769,22.84,3.44,12,1,8,salaried,yes
14.49,140.15,no,534,15.2,6.88,2,3,6,salaried,no
28.33,173.42,yes,730,18.13,7.44,13,3,1,salaried,yes
10.37,74.73,yes,695,5.33,2.46,5,5,7,self_employed,no
16.78,103.23,yes,772,10.9,7.66,9,2,1,salaried,neutral
26.58,106.47,yes,684,25.16,10.48,15,3,2,self_employed,yes
12.74,307.46,no,651,6.94,6.15,4,1,2,self_employed,no
17.89,309.79,no,470,6.3,7.44,6,2,8,salaried,no
10.27,164.65,no,470,16.9,4.46,5,0,5,self_employed,no
28.36,195.32,no,745,25.03,3.22,11,1,1,salaried,no
26.79,248.3,yes,696,11.71,4.53,4,4,9,salaried,neutral
12.48,86.05,yes,638,9.87,4.51,5,2,7,self_employed,neutral
12.12,70.97,no,579,9.6,3.25,14,4,5,self_employed,no
51.72,443.13,no,813,28.93,23.44,15,2,5,self_employed,no
5.59,117.4,no,679,23.65,1.72,4,1,5,salaried,no
22.48,138.22,yes,772,16.25,4.47,9,3,3,self_employed,yes
8.01,42.58,no,586,6.38,2.24,6,1,9,business,no
12.69,44.19,yes,845,17.35,1.68,11,5,3,salaried,yes
21.01,170.43,yes,672,23.03,1.94,7,6,8,business,neutral
25.86,255.06,yes,693,15.97,2.2,10,1,6,business,neutral
14.23,55.62,no,682,30.82,4.07,14,4,4,self_employed,neutral
16.3,149.5,yes,752,22.91,5.6,1,3,6,business,neutral
4.77,43.31,yes,653,7.39,1.43,8,2,8,salaried,neutral
54.61,253.6,yes,818,24.32,10.16,13,2,6,self_employed,yes
18.59,156.64,yes,606,33.77,3.73,3,2,8,salaried,neutral
21.69,138.7,yes,782,16.64,8.55,12,2,5,salaried,yes
5.5,49.42,no,659,9.15,0.41,5,5,3,self_employed,no
14.93,204.17,no,542,6.96,7.54,9,3,6,self_employed,no
21.49,199.15,yes,708,17.59,6.79,8,3,7,self_employed,neutral
12.64,123.75,no,520,15.47,5.14,8,0,3,business,no
12.83,42.27,yes,607,18.21,3.09,9,6,8,self_employed,neutral
19.96,144.54,yes,682,34.44,3.78,4,2,10,salaried,yes
20.79,249.06,no,660,9.55,8.25,15,0,8,salaried,no
7.51,80.52,yes,698,13.66,2.16,5,1,5,salaried,neutral
19.31,192.39,no,663,6.97,7.52,13,0,3,salaried,no
12.94,100.99,no,713,3.91,4.89,5,2,4,self_employed,no
18.48,127.51,no,653,8.97,6.35,6,2,10,self_employed,no
9.85,79.82,yes,675,22.77,3.79,13,3,10,self_employed,neutral
29.35,216.9,yes,857,18.48,6.68,9,5,2,salaried,yes
6.7,68.0,yes,681,21.39,1.73,3,4,4,salaried,neutral
4.61,58.02,yes,742,24.01,0.6,8,1,6,salaried,neutral
9.05,55.88,yes,499,16.83,2.76,8,0,6,business,neutral
22.6,429.47,no,549,5.32,13.15,14,3,1,salaried,no
18.24,112.77,yes,727,24.03,3.71,12,5,2,business,yes
35.66,206.42,yes,747,46.49,8.99,11,4,10,salaried,yes
60.06,331.46,yes,813,23.93,4.55,11,2,8,salaried,yes
14.72,183.52,no,569,8.11,2.35,3,1,8,business,no
5.38,48.94,no,690,5.48,2.0,5,1,8,salaried,no
42.01,231.95,yes,824,22.36,17.56,12,0,1,salaried,yes
26.3,196.31,yes,717,27.06,2.55,9,3,5,self_employed,yes
7.94,80.82,yes,655,15.48,3.4,8,5,5,self_employed,no
6.04,20.19,no,527,8.12,2.25,13,1,8,salaried,neutral
48.53,257.6,yes,745,53.29,8.51,14,3,10,business,yes
21.93,198.12,yes,711,20.0,5.61,9,3,6,business,neutral
19.07,198.4,yes,813,27.86,5.0,11,4,6,salaried,yes
30.08,281.54,yes,494,15.2,3.12,9,0,7,salaried,neutral
11.93,127.51,yes,619,35.14,3.97,8,5,5,self_employed,neutral
19.19,148.78,yes,726,25.69,3.76,11,1,8,business,yes
14.1,90.43,yes,757,38.89,1.04,11,0,2,salaried,yes
18.0,133.02,yes,815,14.23,3.91,5,2,9,self_employed,yes
19.21,102.98,no,807,19.49,1.99,22,6,6,salaried,neutral
13.18,197.36,no,481,10.41,3.0,4,0,8,business,no
9.09,213.26,no,470,8.35,3.37,5,3,8,salaried,no
37.83,347.88,yes,714,30.98,16.87,4,1,8,self_employed,neutral
7.73,111.9,yes,751,11.12,1.96,1,2,8,salaried,neutral
70.41,525.2,yes,689,27.88,10.18,5,4,7,salaried,yes
9.51,124.34,yes,628,17.53,2.53,14,3,7,salaried,neutral
4.59,50.64,no,614,10.97,1.0,5,2,6,salaried,no
12.58,129.84,yes,691,8.13,2.11,13,4,5,business,yes
10.34,57.86,no,666,13.17,2.02,7,1,9,salaried,no
54.89,211.69,yes,817,41.13,4.21,27,3,7,salaried,yes
4.04,42.79,yes,772,18.57,1.27,10,5,3,business,neutral
9.85,116.28,yes,779,7.47,1.82,7,5,9,salaried,neutral
12.34,52.21,yes,652,14.28,2.05,14,2,7,self_employed,yes
25.52,113.04,yes,744,26.77,2.01,8,5,9,salaried,yes
12.94,139.42,no,610,9.12,6.17,13,0,4,business,no
32.45,107.93,yes,749,50.66,5.15,23,1,5,salaried,yes
6.44,74.22,yes,720,12.31,1.67,5,4,6,salaried,neutral
28.33,121.08,no,627,17.91,8.24,18,4,3,salaried,neutral
7.6,101.28,no,658,11.49,2.06,4,2,9,self_employed,no
20.1,157.16,yes,708,30.6,3.21,8,3,9,business,yes
14.38,221.64,yes,656,11.64,5.68,3,3,4,business,no
28.49,113.72,yes,665,28.73,2.5,5,3,5,salaried,yes
17.27,169.32,no,842,55.62,4.43,8,1,6,business,neutral
11.32,128.38,no,635,3.66,4.33,10,2,6,self_employed,no
32.38,264.47,yes,656,22.24,4.91,19,2,5,business,yes
57.44,360.39,no,816,33.58,19.12,12,1,8,salaried,neutral
15.14,113.1,yes,637,17.36,3.2,4,3,6,self_employed,neutral
29.99,158.76,no,854,25.84,6.35,4,2,5,business,neutral
49.4,191.85,yes,748,48.39,8.08,13,3,5,salaried,yes
18.89,283.99,no,626,3.93,10.37,7,2,7,self_employed,no
20.18,148.0,yes,708,29.01,4.83,11,3,8,self_employed,yes
62.96,290.15,yes,754,26.32,13.9,11,1,6,salaried,yes
22.17,168.07,no,554,11.17,8.57,3,4,5,self_employed,no
7.97,60.01,yes,532,7.9,0.85,4,4,5,self_employed,no
37.59,139.93,yes,880,49.35,5.54,7,2,2,salaried,yes
16.42,155.89,no,730,31.52,4.24,7,1,2,self_employed,no
23.32,230.38,yes,655,30.42,2.96,9,3,3,self_employed,neutral
67.26,269.75,yes,804,28.72,18.82,22,2,7,salaried,yes
21.79,123.02,yes,556,22.12,5.48,8,4,7,salaried,neutral
19.79,136.81,yes,664,14.35,5.59,7,3,6,self_employed,neutral
24.65,127.89,no,711,22.25,3.19,13,1,7,salaried,yes
3.69,32.38,no,595,10.89,0.33,13,0,10,salaried,no
17.44,158.63,no,663,4.11,7.97,3,1,9,salaried,no
11.57,54.85,no,723,13.56,2.0,14,1,4,salaried,neutral
26.5,280.77,yes,639,17.6,2.17,17,5,8,salaried,neutral
10.8,79.14,no,631,10.8,6.72,6,0,8,salaried,no
